Tag,Url,HTTP Code,Redirected,New Url
ShopMemoryURL_es, http://shop.lenovo.com/SEUILibrary/controller/e/web/LenovoPortal/es/catalog.workflow:find-compatible-items?category-id=20A0DF223E104135B445F3A1A8CE1F31&amp;model-number=ADAS234&amp;cat=1&amp;cid=ww:direct:Kt8Uos, 301, 
ShopMemoryURL_en, http://shop.lenovo.com/SEUILibrary/controller/e/web/LenovoPortal/en/catalog.workflow:find-compatible-items?category-id=20A0DF223E104135B445F3A1A8CE1F31&amp;model-number=ADAS234&amp;cat=1&amp;cid=ww:direct:Kt8Uos, 301, 
ShopStorage_ru, http://shop.lenovo.com/noind/ru/accessories/storage?cid=ww:direct:Kt8Uos, 404, 
ShopStorage_fr, http://shop.lenovo.com/noind/fr/accessories/storage?cid=ww:direct:Kt8Uos, 404, 
ShopStorage_en, http://shop.lenovo.com/noind/en/accessories/storage?cid=ww:direct:Kt8Uos, 404, 
ShopStorage_en, http://shop.lenovo.com/noind/en/accessories/storage?cid=ww:direct:Kt8Uos, 404, 
ShopStorage_pt, http://shop.lenovo.com/noind/pt/accessories/storage?cid=ww:direct:Kt8Uos, 404, 
ShopStorage_en, http://shop.lenovo.com/noind/en/accessories/storage?cid=ww:direct:Kt8Uos, 404, 
ShopStorage_zh, http://shop.lenovo.com/noind/zh/accessories/storage?cid=ww:direct:Kt8Uos, 404, 
ShopStorage_de, http://shop.lenovo.com/noind/de/accessories/storage?cid=ww:direct:Kt8Uos, 404, 
ShopStorage_ja, http://shop.lenovo.com/noind/ja/accessories/storage?cid=ww:direct:Kt8Uos, 404, 
ShopStorage_it, http://shop.lenovo.com/noind/it/accessories/storage?cid=ww:direct:Kt8Uos, 404, 
ShopStorage_en, http://shop.lenovo.com/noind/en/accessories/storage?cid=ww:direct:Kt8Uos, 404, 
ShopStorage_zh, http://shop.lenovo.com/noind/zh/accessories/storage?cid=ww:direct:Kt8Uos, 404, 
ShopStorage_ko, http://shop.lenovo.com/noind/ko/accessories/storage?cid=ww:direct:Kt8Uos, 404, 
